"Regions","CATEGORY","ITEM","UNIT","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP","SNNP"
"Markets","CATEGORY","ITEM","UNIT","Shewa- Bench ","Mizan- Teferi ","Deri","Amaro Kele ","Soyama","Karate","Gidola","Tercha","Besite- chere ","Lasoka","Amaya"
"1","VEGETABLES (FRESH)","Ethiopian Kale","Kg ","1.12","2.13",".55","3.11","7.90","3.66","4.36","8.82","1.55",".62","1.01"
"2","VEGETABLES (FRESH)","Cabbage","Kg ","2.10","7.09","-","-","3.18","4.48","5.92","6.00","5.47","-","4.77"
"3","VEGETABLES (FRESH)","Lettuce","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"4","VEGETABLES (FRESH)","Spinach","Kg ","-","-","-","-","-","-","-","-","-","-","1.14"
"5","VEGETABLES (FRESH)","Carrot","Kg ","5.14","12.00","2.44","10.63","8.00","7.32","2.65","6.00","4.55","-","4.31"
"6","VEGETABLES (FRESH)","Tomatoes","Kg ","-","-","4.17","4.90","12.00","17.54","18.78","15.66","9.68","7.96","-"
"7","VEGETABLES (FRESH)","Onions","Kg ","-","13.33","20.28","15.33","12.00","12.32","3.28","13.00","10.63","10.42","13.30"
"8","VEGETABLES (FRESH)","Garlics","Kg ","26.57","23.21","41.76","38.26","15.34","24.66","28.94","24.33","16.00","19.74","-"
"9","VEGETABLES (FRESH)","Leaks","Kg ","-","-","-","-","12.00","-","-","-","-","6.14","-"
"10","VEGETABLES (FRESH)","Pepper Green","Kg ","3.63","16.00","23.21","13.23","15.04","20.33","16.09","8.70","5.89","7.53","5.72"
"11","VEGETABLES (FRESH)","Pumpkin  ","Kg ","1.52","2.49","-","1.30","-","-","2.79","2.26","-",".61",".69"
"12","VEGETABLES (FRESH)","Green Peas","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"13","VEGETABLES (FRESH)","Beet Root","Kg ","4.69","6.00","5.81","10.00","6.00","5.65","4.70","6.65","6.00","-","3.17"
"14","VEGETABLES (FRESH)","Cauliflower","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"15","FRUITS FRESH","Banana","Kg ","4.33","1.78","4.96","1.70","7.63","4.03","5.19","4.61","3.03","1.62","2.86"
"16","FRUITS FRESH","Orange","Kg ","-","2.71","3.45","-","5.06","-","-","-","-","-","2.59"
"17","FRUITS FRESH","Lemon","Kg ","14.29","5.09","6.26","7.87","12.51","4.85","2.43","12.01","3.58","-","3.69"
"18","FRUITS FRESH","Tangerine","Kg ","-","12.77","-","-","-","-","-","-","-","-","-"
"19","FRUITS FRESH","Papaya","Kg ","1.43","1.34","-","1.87","2.09","1.36","4.72","-","1.67","-","1.97"
"20","FRUITS FRESH","Grapes","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"21","FRUITS FRESH","Avocado","Kg ","4.49","1.86","6.05","3.82","7.29","10.74","10.38","8.33","3.90","3.54","5.67"
"22","FRUITS FRESH","Mango","Kg ","1.72","1.44","4.35","4.56","4.79","9.53","5.40","8.00","3.32","1.95","2.51"
"23","FRUITS FRESH","Cactus","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"1","SPICES","Pepper Whole","Kg ","-","26.57","-","-","-","-","-","-","-","-","-"
"2","SPICES","Black Pepper(Local)","Kg ","-","-","-","-","-","-","-","-","-","180.00","-"
"3","SPICES","Long Pepper(Local)","Kg ","-","50.00","-","-","70.00","-","-","58.32","-","70.00","-"
"4","SPICES","White Cumin(Bishop's Weed)Local","Kg ","-","30.00","50.12","40.08","48.27","-","29.32","30.00","25.66","38.26","35.00"
"5","SPICES","Black Cumin(Local)","Kg ","-","30.00","49.00","40.08","48.27","-","31.28","33.31","25.66","34.76","26.60"
"6","SPICES","Ginger Dry(Local)","Kg ","-","-","-","-","-","-","-","-","-","-","-"
"7","SPICES","Ginger Wet(Local)","Kg ","-","5.65","12.50","7.00","10.00","7.00","7.47","9.48","5.41","-","-"
"8","SPICES","Cloves(Imported)","Kg ","-","300.00","-","-","350.00","-","-","-","386.20","450.00","-"
"9","SPICES","Cinnamon(Imported)","Kg ","-","70.00","150.00","-","85.00","-","-","-","80.00","130.00","-"
"10","SPICES","Cardamon(Local)","Kg ","-","80.00","-","114.89","-","-","-","121.64","120.00","-","-"
"11","SPICES","Tumeric Flour(Local)","Kg ","-","-","-","-","25.00","-","-","-","-","16.00","-"
"12","SPICES","Chillies Whole","Kg ","-","40.00","37.70","-","37.60","61.66","55.03","-","-","-","-"
"13","SPICES","Basil Dry","Kg ","-","20.00","-","-","-","18.82","-","-","-","-","-"
"14","POTATOES, OTHER TUBERS AND STEMS","Potato","Kg ","7.00","5.00","2.68","8.00","5.00","5.31","3.92","5.00","3.94","2.34","3.28"
"15","POTATOES, OTHER TUBERS AND STEMS","Sweet Potato","Kg ","-","-","-","-","3.76","4.13","3.75","3.20","2.11","-","1.94"
"16","POTATOES, OTHER TUBERS AND STEMS","'Kocho' (Unprocessed)","Kg ","2.20","12.20","-","6.58","5.54","-","3.22","5.22","7.26","2.33","2.26"
