"Regions","CATEGORY","ITEM","UNIT","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa","AMHARa"
"Markets","CATEGORY","ITEM","UNIT","Mota","Debre- markos ","Dembecha","Bahir- Dar ","Sekota","Amde Work ","Danigla","Chagni","Kemise","Bati"
"3","VEGETABLES (FRESH)","Lettuce","Kg ","3.20","4.47","-","7.15","10.03","8.98","3.14","-","4.42","7.90"
"4","VEGETABLES (FRESH)","Spinach","Kg ","2.47","1.64","1.39","4.50","3.13","-","4.66","-","10.38","6.27"
"5","VEGETABLES (FRESH)","Carrot","Kg ","5.60","7.00","8.32","12.00","10.00","-","7.65","10.00","5.18","9.87"
"6","VEGETABLES (FRESH)","Tomatoes","Kg ","10.00","9.28","13.00","13.66","13.30","6.60","6.32","-","7.62","22.24"
"7","VEGETABLES (FRESH)","Onions","Kg ","10.66","12.00","11.66","11.00","10.63","11.29","11.66","12.00","14.00","12.00"
"8","VEGETABLES (FRESH)","Garlics","Kg ","11.66","9.32","9.97","17.66","15.98","17.33","16.64","12.00","14.33","14.00"
"9","VEGETABLES (FRESH)","Leaks","Kg ","-","-","-","20.00","-","-","-","-","-","-"
"10","VEGETABLES (FRESH)","Pepper Green","Kg ","11.32","19.31","18.82","18.64","22.64","21.07","8.24","8.32","15.13","20.00"
"11","VEGETABLES (FRESH)","Pumpkin  ","Kg ","-","-","-","-","-","-","-","-","2.72","-"
"12","VEGETABLES (FRESH)","Green Peas","Kg ","-","16.00","-","20.00","-","-","-","-","-","-"
"13","VEGETABLES (FRESH)","Beet Root","Kg ","2.86","4.28","3.41","6.00","12.00","-","9.28","6.00","5.75","3.76"
"14","VEGETABLES (FRESH)","Cauliflower","Kg ","-","-","-","50.00","-","-","-","-","-","-"
"15","FRUITS FRESH","Banana","Kg ","6.20","12.00","11.66","15.00","12.00","5.71","13.98","9.90","15.00","15.00"
"16","FRUITS FRESH","Orange","Kg ","5.19","12.32","7.35","15.66","14.00","12.00","16.00","10.93","-","-"
"17","FRUITS FRESH","Lemon","Kg ","3.81","10.77","6.84","3.34","8.04","4.21","3.55","4.35","8.66","14.70"
"18","FRUITS FRESH","Tangerine","Kg ","-","-","-","-","-","-","-","-","-","-"
"19","FRUITS FRESH","Papaya","Kg ","10.77","11.67","-","10.97","7.79","-","-","-","9.19","5.35"
"20","FRUITS FRESH","Grapes","Kg ","-","-","-","-","-","-","-","-","-","-"
