"Regions","CATEGORY","ITEM","UNIT","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA","OROMIYA"
"Markets","CATEGORY","ITEM","UNIT","Nazareth","Shashe-","Diksise","Asella","Asebe- Teferi ","Bedessa","Alemaya","Boreda","Adaba","Robe","Hagere- Mariam ","Negele- Borena "
"16","FRUITS FRESH","Orange","Kg ","23.99","22.24","14.00","14.00","25.00","-","-","-","20.36","16.90","-","24.98"
"17","FRUITS FRESH","Lemon","Kg ","19.93","7.65","16.66","13.28","21.20","11.67","21.89","-","7.73","6.91","14.39","24.04"
"18","FRUITS FRESH","Tangerine","Kg ","-","20.65","-","-","-","-","20.95","-","-","-","-","-"
"19","FRUITS FRESH","Papaya","Kg ","16.98","10.00","-","16.00","-","3.88","-","-","12.17","13.39","-","16.67"
"20","FRUITS FRESH","Grapes","Kg ","30.00","-","-","-","-","-","-","-","-","-","-","-"
"21","FRUITS FRESH","Avocado","Kg ","12.00","12.00","-","11.29","20.00","9.26","-","-","10.14","12.21","13.07","16.33"
"22","FRUITS FRESH","Mango","Kg ","12.00","10.00","-","14.00","20.00","6.61","10.63","-","7.58","11.52","-","17.32"
"23","FRUITS FRESH","Cactus","Kg ","-","-","-","-","2.61","-","-","-","2.79","1.02","-","-"
"1","SPICES","Pepper Whole","Kg ","35.00","35.00","40.66","36.00","27.32","22.00","32.66","30.00","34.66","33.66","35.33","-"
"2","SPICES","Black Pepper(Local)","Kg ","309.84","246.49","-","246.62","-","254.95","-","-","246.62","220.00","-","300.00"
"3","SPICES","Long Pepper(Local)","Kg ","-","-","77.31","-","70.00","63.29","77.46","80.00","65.00","80.00","70.00","-"
"4","SPICES","White Cumin(Bishop's Weed)Local","Kg ","36.34","30.00","-","25.00","28.98","35.00","48.27","-","33.71","47.32","33.25","40.00"
"5","SPICES","Black Cumin(Local)","Kg ","40.00","30.00","49.32","30.00","33.02","35.00","48.27","80.00","25.12","32.30","35.00","40.00"
"6","SPICES","Ginger Dry(Local)","Kg ","40.00","43.09","48.27","30.00","28.98","32.40","38.97","-","29.32","40.00","-","32.40"
"7","SPICES","Ginger Wet(Local)","Kg ","9.28","8.00","10.63","10.00","12.00","8.96","12.32","-","9.00","8.00","5.00","15.00"
"8","SPICES","Cloves(Imported)","Kg ","393.22","383.30","400.00","329.70","-","340.00","360.00","-","324.96","350.00","309.84","360.00"
"9","SPICES","Cinnamon(Imported)","Kg ","59.44","83.99","-","65.00","80.00","75.00","73.29","-","75.00","70.00","70.00","80.00"
"10","SPICES","Cardamon(Local)","Kg ","103.23","110.00","120.62","110.00","116.57","110.00","116.57","100.00","111.64","123.31","120.00","120.00"
"11","SPICES","Tumeric Flour(Local)","Kg ","28.31","30.00","-","-","17.21","13.98","-","-","14.33","-","20.00","-"
"12","SPICES","Chillies Whole","Kg ","40.00","48.27","61.62","40.00","29.32","50.00","58.28","52.83","40.66","68.29","25.99","-"
"13","SPICES","Basil Dry","Kg ","46.61","40.00","44.81","35.00","32.46","20.65","38.26","-","45.46","39.01","31.58","38.00"
"14","POTATOES, OTHER TUBERS AND STEMS","Potato","Kg ","3.66","3.00","3.29","3.30","5.46","4.03","4.83","7.16","2.97","2.75","5.00","5.00"
"15","POTATOES, OTHER TUBERS AND STEMS","Sweet Potato","Kg ","4.33","3.71","-","4.29","-","2.88","-","1.99","2.91","3.55","-","3.63"
"16","POTATOES, OTHER TUBERS AND STEMS","'Kocho' (Unprocessed)","Kg ","12.16","7.69","-","-","-","-","-","-","-","-","14.73","12.51"
"17","POTATOES, OTHER TUBERS AND STEMS","'Bula'","Kg ","22.65","8.49","-","-","-","-","-","-","-","10.01","-","-"
"18","POTATOES, OTHER TUBERS AND STEMS","Tea Leaves(Local)","100gm ","10.00","11.25","12.07","11.20","12.50","11.65","11.25","13.28","11.25","11.25","9.56","8.32"
"19","POTATOES, OTHER TUBERS AND STEMS","Coffee Whole","Kg ","48.27","-","-","60.00","-","45.58","-","-","30.77","-","18.00","26.65"
"20","POTATOES, OTHER TUBERS AND STEMS","Coffee Beans","Kg ","64.87","60.66","59.33","76.52","114.93","67.17","73.19","103.23","52.99","54.99","51.61","56.62"
"21","POTATOES, OTHER TUBERS AND STEMS","Coffee Leaves","Kg ","-","-","15.80","-","18.26","21.54","-","-","21.61","23.94","-","-"
"22","POTATOES, OTHER TUBERS AND STEMS","Buck Thorn Leaves","Kg ","49.19","29.24","46.52","32.45","38.70","33.74","-","19.47","21.74","13.86","-","36.59"
"23","POTATOES, OTHER TUBERS AND STEMS","'Chat'","Kg ","121.01","76.36","103.28","117.49","103.61","65.32","83.40","51.63","70.66","63.34","46.67","66.90"
"1","P R I C E   I N    B I R R","Malt-Barley","Kg ","22.79","15.40","-","14.43","29.96","-","-","-","-","-","11.56","-"
"2","P R I C E   I N    B I R R","Malt-Wheat","Kg ","21.26","16.98","-","12.72","-","-","-","-","-","-","10.73","-"
"3","OTHER FOOD ITEMS","Salt","Kg ","4.00","5.00","5.65","5.00","5.00","5.00","5.16","5.00","5.00","5.00","5.00","5.48"
"4","OTHER FOOD ITEMS","Sugar","Kg ","14.50","24.00","23.66","-","20.65","20.00","17.49","20.00","15.50","15.00","26.66","28.00"
"5","OTHER FOOD ITEMS","Honey","Kg ","96.55","80.00","84.90","80.00","140.00","80.00","-","120.00","94.91","77.80","-","70.00"
"6","OTHER FOOD ITEMS","Canned Tomato (Local)","410gm ","22.65","23.66","-","23.65","-","-","24.00","-","21.55","19.29","-","18.57"
"7","OTHER FOOD ITEMS","Dry Yeast(Baking powder)","350gm ","105.00","87.50","70.00","105.00","75.41","-","105.00","87.50","98.81","105.00","115.57","105.00"
"8","FOOD TAKEN AWAY FROM HOME","Cup of Tea","No ","3.00","2.82","1.31","2.00","2.00","2.00","2.00","1.00","2.00","1.65","2.00","2.00"
"9","FOOD TAKEN AWAY FROM HOME","Cup of Coffee","No ","6.00","5.00","2.29","4.70","4.00","5.00","5.00","4.00","4.00","4.00","4.00","3.00"
"10","FOOD TAKEN AWAY FROM HOME","Cup of Milk","No ","6.00","5.31","4.00","4.70","5.00","5.00","5.00","4.00","4.00","3.83","5.00","-"
"11","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebere'","One Meal ","30.00","20.00","20.00","23.10","-","-","25.00","18.17","22.00","20.00","25.00","24.31"
"12","FOOD TAKEN AWAY FROM HOME","'Key Wot Yebeg/Yefyel'","One Meal ","38.26","30.65","-","23.10","25.00","20.00","25.00","22.36","25.00","25.00","25.00","24.31"
"13","FOOD TAKEN AWAY FROM HOME","'Yebeg Tibs'","One Meal ","48.27","40.00","35.00","32.65","30.00","30.00","40.00","-","31.58","29.32","30.49","25.65"
"14","FOOD TAKEN AWAY FROM HOME","'Fasting Meal Without fish","One Meal ","24.93","20.65","10.00","16.68","17.54","15.00","19.31","11.29","13.33","10.00","15.00","14.66"
"15","FOOD TAKEN AWAY FROM HOME","'Yebeg Kikil'","One Meal ","38.26","30.65","-","25.10","25.00","20.00","25.00","25.00","31.58","25.00","27.97","10.93"
"16","COST OF MILLING","Cereals","100Kg ","30.00","40.00","21.54","25.00","33.02","30.00","35.00","25.00","20.00","25.00","50.00","60.00"
"17","COST OF MILLING","Pulses","100Kg ","30.00","40.00","21.54","20.00","50.00","50.00","36.59","15.00","25.00","50.00","50.00","60.00"
"18","COST OF MILLING","Pepper Whole","100Kg ","150.00","175.00","71.63","150.00","200.00","100.00","200.00","181.71","150.00","150.00","200.00","-"
"1","BEVERAGES - NON ALCOHOLIC","Ambo Mineral Water","500cc ","6.00","7.00","7.00","7.00","6.00","-","6.00","5.00","8.42","7.00","7.00","8.00"
"2","BEVERAGES - NON ALCOHOLIC","Mineral Water","Lt ","7.00","9.00","8.00","9.00","10.00","10.00","10.00","10.00","8.00","9.65","8.00","10.00"
