"Regions","CATEGORY","ITEM","UNIT","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS","ADDIS"
"Markets","CATEGORY","ITEM","UNIT","Merkato","Kera","Zenebe work ","Gergi","Saris","Kotebe","Ferensay Legasion ","Shola","Asko","Addisu- Gebeya ","Efoyita Gebeya ","Akaki"
"1","VEGETABLES (FRESH)","Ethiopian Kale","Kg ","6.57","7.34","6.06","6.99","8.76","6.67","8.35","10.36","9.61","6.52","6.15","7.99"
"2","VEGETABLES (FRESH)","Cabbage","Kg ","5.00","5.00","5.00","5.65","6.00","5.00","5.65","7.00","4.66","5.31","6.95","3.72"
"3","VEGETABLES (FRESH)","Lettuce","Kg ","21.83","23.31","16.23","25.00","23.21","19.83","24.66","28.65","24.99","21.31","23.71","20.00"
"4","VEGETABLES (FRESH)","Spinach","Kg ","5.56","7.91","5.27","6.28","5.74","8.73","4.23","7.18","6.90","4.53","3.46","5.03"
"5","VEGETABLES (FRESH)","Carrot","Kg ","7.27","8.32","6.32","8.00","7.32","6.00","8.00","10.00","8.96","8.00","5.31","6.00"
"6","VEGETABLES (FRESH)","Tomatoes","Kg ","19.31","17.66","18.49","21.31","23.31","20.00","19.31","20.65","22.33","18.33","24.00","22.33"
"7","VEGETABLES (FRESH)","Onions","Kg ","9.65","9.00","10.66","11.00","11.32","10.00","12.00","12.00","13.00","8.83","12.00","11.00"
"8","VEGETABLES (FRESH)","Garlics","Kg ","20.00","24.66","20.00","24.65","25.00","20.00","24.33","24.31","25.32","22.96","20.00","20.00"
"9","VEGETABLES (FRESH)","Leaks","Kg ","10.34","-","-","-","12.84","-","-","-","-","-","10.28","-"
"10","VEGETABLES (FRESH)","Pepper Green","Kg ","20.00","24.99","20.00","24.00","24.00","24.00","23.20","29.96","21.25","20.00","20.00","20.00"
"11","VEGETABLES (FRESH)","Pumpkin  ","Kg ","-","-","-","-","-","5.05","-","-","-","-","-","-"
"12","VEGETABLES (FRESH)","Green Peas","Kg ","12.00","15.66","15.00","14.66","12.32","13.64","15.66","16.33","13.28","12.32","17.66","12.00"
"13","VEGETABLES (FRESH)","Beet Root","Kg ","6.00","6.00","6.00","6.65","6.65","5.31","6.00","8.00","7.65","6.16","5.00","5.58"
"14","VEGETABLES (FRESH)","Cauliflower","Kg ","19.70","-","-","-","-","-","-","-","-","-","-","-"
"15","FRUITS FRESH","Banana","Kg ","12.00","12.00","12.00","11.32","12.00","10.00","12.00","12.00","12.00","12.00","12.00","12.00"
"16","FRUITS FRESH","Orange","Kg ","22.65","24.33","22.00","20.65","24.33","20.00","24.99","23.96","22.96","25.00","25.33","24.66"
"17","FRUITS FRESH","Lemon","Kg ","16.66","17.31","16.31","18.00","20.00","20.00","19.33","20.00","18.64","16.00","-","16.97"
"18","FRUITS FRESH","Tangerine","Kg ","-","-","-","-","-","-","24.00","-","-","-","-","-"
"19","FRUITS FRESH","Papaya","Kg ","20.00","17.66","19.31","18.64","23.21","18.64","21.31","23.96","18.64","21.63","19.31","19.31"
"20","FRUITS FRESH","Grapes","Kg ","-","-","-","-","-","-","-","100.00","-","80.00","-","-"
