"Regions","CATEGORY","ITEM","UNIT","GAMBELLA","GAMBELLA","GAMBELLA","DIREDAWA","DIREDAWA"
"Markets","CATEGORY","ITEM","UNIT","Gambella","Shebo- kire ","Meti","Dire Dawa ","Melka- Jebdu "
"18","COST OF TAILORING","Woolen Suit (Men)","No ","-","-","-","666.26","632.89"
"19","COST OF TAILORING","Khaki/Teteron Suit (Men)","No ","334.66","-","-","214.48","206.46"
"20","COST OF TAILORING","Khaki/Teteron Suit (Boys)","No ","178.89","-","-","164.32","123.24"
"1","READY-MADE / FOR ADULTS","'Netela'","No ","-","-","-","-","-"
"2","READY-MADE / FOR ADULTS","'Gabi'","No ","-","-","-","566.19","426.64"
"3","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Local)","No ","-","-","-","-","-"
"4","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Imported)","No ","226.62","163.27","200.00","219.85","161.65"
"5","READY-MADE / FOR ADULTS","Shirts Short Sleeved (Imported)","No ","209.84","-","200.00","199.83","134.94"
"6","READY-MADE / FOR ADULTS","Socks (Cotton) Imported","Pair ","30.00","-","20.00","19.31","26.57"
"7","READY-MADE / FOR ADULTS","Sweater (Local) Men","No ","-","-","-","279.82","-"
"8","READY-MADE / FOR ADULTS","Sweater (Local) Women","No ","-","-","-","-","-"
"9","READY-MADE / FOR ADULTS","Shash (Imported)","No ","30.00","-","-","21.41","25.00"
"10","READY-MADE / FOR ADULTS","Singlets (Local) White","No ","-","-","-","-","-"
"11","READY-MADE / FOR ADULTS","Jeans Trouser","No ","463.17","450.00","389.91","429.69","393.22"
"12","READY-MADE / FOR ADULTS","Woolen Suit","No ","-","-","-","-","-"
"13","READY-MADE / FOR ADULTS","'Kemisna Netela'","No ","-","-","-","722.84","693.27"
"14","READY-MADE / FOR ADULTS","Sweater-Men (Imported)","No ","-","-","-","312.27","-"
"15","READY-MADE / FOR ADULTS","Sweater-Women (Imported)","No ","-","-","-","-","-"
"16","READY-MADE / FOR ADULTS","Nylon Dress","No ","-","-","-","-","-"
