"Regions","CATEGORY","ITEM","UNIT","SOMALIE","SOMALIE","SOMALIE","SOMALIE","SOMALIE","SOMALIE"
"Markets","CATEGORY","ITEM","UNIT","Shinile","Arere","Jigjiga","Hartshek","Dolo","Moyale"
"8","CLOTHING","Poplin(Dire Dawa)105cm","Meter ","-","-","-","-","-","-"
"9","CLOTHING","Poplin(Komb","Meter ","-","-","-","-","-","-"
"10","CLOTHING","Nylon(Mojo)","Meter ","-","-","-","-","-","-"
"11","CLOTHING","Polyster(Arba Minch/Awasa)","Meter ","-","-","-","-","-","-"
"12","CLOTHING","Jersi","Meter ","-","-","-","-","-","-"
"13","CLOTHING","Cotton","Kg ","-","-","-","-","-","-"
"14","CLOTHING","Hisufi ","Meter ","-","-","-","-","-","-"
"15","CLOTHING","Kefai","Meter ","-","-","-","-","-","-"
"16","CLOTHING","Kashemire","Meter ","-","-","70.00","-","-","-"
"17","CLOTHING","Deriya","Meter ","-","56.46","22.22","22.22","27.78","50.55"
"18","COST OF TAILORING","Woolen Suit (Men)","No ","-","-","350.00","-","-","-"
"19","COST OF TAILORING","Khaki/Teteron Suit (Men)","No ","-","-","-","-","-","-"
"20","COST OF TAILORING","Khaki/Teteron Suit (Boys)","No ","-","-","-","-","-","-"
"1","READY-MADE / FOR ADULTS","'Netela'","No ","-","-","-","-","-","-"
"2","READY-MADE / FOR ADULTS","'Gabi'","No ","-","-","-","-","-","-"
"3","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Local)","No ","-","-","-","-","-","-"
"4","READY-MADE / FOR ADULTS","Shirts Long Sleeved (Imported)","No ","-","120.00","213.12","-","193.28","193.10"
"5","READY-MADE / FOR ADULTS","Shirts Short Sleeved (Imported)","No ","-","-","190.00","-","190.00","180.00"
"6","READY-MADE / FOR ADULTS","Socks (Cotton) Imported","Pair ","-","20.00","24.95","-","20.00","20.00"
"7","READY-MADE / FOR ADULTS","Sweater (Local) Men","No ","-","-","-","-","-","-"
"8","READY-MADE / FOR ADULTS","Sweater (Local) Women","No ","-","-","-","-","-","-"
"9","READY-MADE / FOR ADULTS","Shash (Imported)","No ","-","-","30.00","27.32","30.00","30.00"
"10","READY-MADE / FOR ADULTS","Singlets (Local) White","No ","-","-","-","-","-","-"
"11","READY-MADE / FOR ADULTS","Jeans Trouser","No ","-","-","453.31","-","346.63","393.22"
"12","READY-MADE / FOR ADULTS","Woolen Suit","No ","-","-","-","-","-","-"
"13","READY-MADE / FOR ADULTS","'Kemisna Netela'","No ","-","-","716.28","-","-","700.00"
"14","READY-MADE / FOR ADULTS","Sweater-Men (Imported)","No ","-","-","350.00","-","-","-"
"15","READY-MADE / FOR ADULTS","Sweater-Women (Imported)","No ","-","-","-","-","-","-"
"16","READY-MADE / FOR ADULTS","Nylon Dress","No ","-","-","-","-","-","-"
"17","READY-MADE / FOR ADULTS","Tetron Trouser","No ","-","-","-","-","-","-"
"18","READY-MADE / FOR ADULTS","Leather Jacket","No ","-","-","-","-","-","-"
"19","READY-MADE / FOR ADULTS","Under Wear China","No ","-","-","-","-","-","30.00"
"20","READY-MADE / FOR ADULTS","Polyester Suit","No ","-","-","-","-","-","-"
"21","READY-MADE / FOR ADULTS","Khaki Short ","No ","-","-","-","-","-","-"
"22","READY-MADE / FOR ADULTS","T-Shirts ","No ","-","63.29","186.61","-","138.31","143.26"
"23","READY-MADE / FOR ADULTS","Jogging Suit(sport tuta) ","No ","-","-","-","-","-","306.52"
"24","READY-MADE / FOR ADULTS","Khaki Jacket ","No ","-","-","353.30","-","-","300.00"
"25","READY-MADE / FOR ADULTS","Geldem ","No ","-","123.24","81.63","103.23","93.22","-"
"26","READY-MADE / FOR ADULTS","Mekremia","No ","-","-","-","-","-","30.00"
"27","READY-MADE / FOR ADULTS","Polyester skirt","No ","-","-","-","-","-","220.00"
"28","READY-MADE / FOR ADULTS","Pants(for men)","No ","-","30.00","23.30","17.00","40.00","40.00"
"1","READY-MADE / FOR CHILDREN","Sweater (Local) for Boys","No ","-","-","-","-","-","-"
"2","READY-MADE / FOR CHILDREN","Socks (Imported) Cotton","Pair ","-","-","20.33","-","-","-"
"3","READY-MADE / FOR CHILDREN","Jeans Trouser","No ","-","-","-","-","-","-"
"4","READY-MADE / FOR CHILDREN","Shirt Long Sleeved(Imported)Boys","No ","-","-","153.26","-","150.00","47.00"
"5","READY-MADE / FOR CHILDREN","Sweater (England) for Girls","No ","-","-","-","-","-","-"
"6","READY-MADE / FOR CHILDREN","Kemise(for childeren) ","No ","-","-","349.86","-","-","200.00"
"7","READY-MADE / FOR CHILDREN","Baby Cloths(Complete)","No ","-","-","71.63","70.00","-","230.00"
"8","READY-MADE / FOR CHILDREN","T-Shirt","No ","-","-","-","-","-","85.00"
"9","READY-MADE / FOR CHILDREN","Jeans trouser and Jacket","No ","-","-","-","-","168.22","250.00"
"10","FOOTWEAR (MEN AND WOMEN)","Anbessa Leather Shoes Men(Local)Pair ","Anbessa Leather Shoes Men(Local)Pair ","-","-","354.96","-","-","-"
"11","FOOTWEAR (MEN AND WOMEN)","Leather Shoes Men (Croft)","Pair ","-","-","383.30","-","-","-"
"12","FOOTWEAR (MEN AND WOMEN)","Walking Shoes(Imp",") Non-Leather Pair ","-","-","349.90","250.00","296.63","250.00"
"13","FOOTWEAR (MEN AND WOMEN)","Canvas Shoes (Local) Men","Pair ","-","-","-","-","-","-"
"14","FOOTWEAR (MEN AND WOMEN)","Canvas Shoes (China) Men","Pair ","-","-","-","-","-","144.91"
"15","FOOTWEAR (MEN AND WOMEN)","Plastic Shoes (Local) Women","Pair ","23.98","14.66","-","-","-","25.00"
"16","FOOTWEAR (MEN AND WOMEN)","Slippers Sponge Adult (China)","Pair ","28.33","25.00","35.65","-","25.00","-"
"17","FOOTWEAR (MEN AND WOMEN)","Boots for Men Plastic (Local)","Pair ","-","-","-","-","-","-"
"18","FOOTWEAR (MEN AND WOMEN)","Sendel Plastic Shoes (Imp","Pair ","-","45.00","51.61","78.30","-","-"
"19","FOOTWEAR (MEN AND WOMEN)","Cost of Mending Shoes sole(Men)","Pair ","-","-","38.26","-","-","52.44"
"20","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Women(China)","Pair ","-","-","203.28","-","-","-"
"21","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Women(Local)","Pair ","-","-","-","-","-","96.55"
"22","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Children(Local)","Pair ","-","-","156.59","156.59","-","103.23"
"23","FOOTWEAR (MEN AND WOMEN)","Plastic shoe(Childern)","Pair ","-","-","-","-","-","20.00"
"24","FOOTWEAR (MEN AND WOMEN)","Shoe leather,Children(Imported)","Pair ","-","-","-","133.25","-","-"
"25","FOOTWEAR (MEN AND WOMEN)","Shoe sendel(Plastic) Childern","Pair ","-","-","-","-","-","-"
"1","CONSTRUCTION MATERIALS","Cement/Bag/(Local)","","-","115.00","123.24","130.00","230.00","200.00"
"2","CONSTRUCTION MATERIALS","Lime","","4.80","4.80","5.00","7.00","-","5.20"
"3","CONSTRUCTION MATERIALS","Lime/Jeso(Local)","","-","-","6.00","-","6.40","-"
"4","CONSTRUCTION MATERIALS","Nail (7cm - 12cm)","","50.00","-","50.00","-","40.00","40.00"
"5","CONSTRUCTION MATERIALS","Nail With Cape","","60.00","-","53.28","60.00","61.62","60.00"
"6","CONSTRUCTION MATERIALS","Corrugated Iron Sheet (","","-","-","-","-","-","-"
"7","CONSTRUCTION MATERIALS","Wood for House Construction('Atana').","","-","35.00","37.28","45.00","-","46.61"
"8","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Normal","","148.57","-","160.00","-","150.00","236.48"
"9","CONSTRUCTION MATERIALS","Wall Paints-Super (Fluid) Plastic","","250.00","-","266.66","-","250.00","136.35"
"10","CONSTRUCTION MATERIALS","Coarse Aggregate Gravel","Meter ","-","-","580.00","-","-","-"
