"Regions","CATEGORY","ITEM","UNIT","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","TIGRAY","AFAR","AFAR","AFAR","AFAR"
"Markets","CATEGORY","ITEM","UNIT","Enda- silase ","Enda- baguna ","Adwa","Axum","Adigrat","Wukiro","Mai- chew ","Mekelle","Ayisaeta","Dubti","Melka Werers ","Sebat killo "
"18","FRUITS FRESH","Tangerine","Kg ","-","-","-","-","-","-","-","25.00","-","-","-","-"
"19","FRUITS FRESH","Papaya","Kg ","-","8.46","8.00","-","-","-","-","15.00","14.16","-","-","-"
"20","FRUITS FRESH","Grapes","Kg ","-","-","-","-","-","-","-","-","-","-","-","-"
"21","FRUITS FRESH","Avocado","Kg ","-","-","10.00","13.98","15.00","-","-","12.00","-","-","-","-"
"22","FRUITS FRESH","Mango","Kg ","16.00","15.00","14.00","13.66","15.00","-","14.00","15.00","16.00","16.94","-","14.33"
"23","FRUITS FRESH","Cactus","Kg ","9.44","12.13","11.26","11.16","11.30","3.00","-","4.18","-","-","-","-"
"1","SPICES","Pepper Whole","Kg ","34.33","34.66","30.00","35.00","27.66","32.00","40.00","28.00","-","38.00","35.99","35.33"
"2","SPICES","Black Pepper(Local)","Kg ","-","-","-","250.00","212.53","-","-","334.66","-","-","243.29","251.66"
"3","SPICES","Long Pepper(Local)","Kg ","78.30","80.00","59.33","80.00","80.00","65.00","57.45","-","-","-","73.29","80.00"
"4","SPICES","White Cumin(Bishop's Weed)Local","Kg ","38.26","38.26","-","-","40.00","41.60","23.30","-","56.62","-","36.59","30.99"
"5","SPICES","Black Cumin(Local)","Kg ","40.00","60.00","34.32","40.00","40.00","41.60","29.32","56.46","62.86","40.00","38.26","35.00"
"6","SPICES","Ginger Dry(Local)","Kg ","40.00","48.27","37.95","32.97","39.32","40.00","31.58","56.46","-","60.00","38.26","33.31"
"7","SPICES","Ginger Wet(Local)","Kg ","23.21","-","17.66","16.98","21.94","10.63","15.33","14.66","17.31","20.00","11.29","10.00"
"8","SPICES","Cloves(Imported)","Kg ","400.00","-","-","-","326.53","-","-","-","-","-","346.63","362.49"
